step,train/acc,epoch,train/loss,val/acc_best,val/acc,val/loss,hp_metric
4,0.03125,0,2.7069051265716553,,,,
9,0.1875,0,2.235243797302246,,,,
14,0.15625,0,2.1740870475769043,,,,
19,0.0625,0,2.6126108169555664,,,,
24,0.0,0,2.1909725666046143,,,,
24,,0,,0.1071428582072258,0.1071428582072258,2.7440898418426514,0.1071428582072258
29,0.09375,1,2.6338207721710205,,,,
34,0.25,1,2.2745134830474854,,,,
39,0.21875,1,2.234384059906006,,,,
44,0.28125,1,2.181081533432007,,,,
49,0.0,1,2.9676177501678467,,,,
49,,1,,0.16836734116077423,0.16836734116077423,2.997739791870117,0.16836734116077423
