train/loss,step,train/acc,epoch,val/loss,hp_metric,val/acc_best,val/acc
2.203882932662964,4,0.125,0,,,,
1.9789912700653076,9,0.6875,0,,,,
1.597744345664978,14,0.84375,0,,,,
1.1744701862335205,19,0.96875,0,,,,
1.0706130266189575,24,1.0,0,,,,
,24,,0,0.7807748913764954,0.9030612111091614,0.9030612111091614,0.9030612111091614
