step,train/acc,epoch,train/loss,val/acc_best,val/acc,val/loss,hp_metric
4,0.09375,0,2.3131401538848877,,,,
9,0.125,0,2.2616283893585205,,,,
14,0.09375,0,2.2898056507110596,,,,
19,0.09375,0,2.3256707191467285,,,,
24,0.0,0,2.3353707790374756,,,,
24,,0,,0.09183673560619354,0.09183673560619354,2.304337739944458,0.09183673560619354
29,0.09375,1,2.3190407752990723,,,,
34,0.15625,1,2.330444097518921,,,,
39,0.03125,1,2.3157098293304443,,,,
44,0.09375,1,2.2437124252319336,,,,
49,0.0,1,2.4772565364837646,,,,
49,,1,,0.10204081982374191,0.10204081982374191,2.305925130844116,0.10204081982374191
