step,train/acc,epoch,train/loss,val/acc_best,val/acc,val/loss,hp_metric
4,0.0625,0,2.3294036388397217,,,,
9,0.5,0,1.5143675804138184,,,,
14,0.78125,0,0.9484277963638306,,,,
19,0.65625,0,1.0706267356872559,,,,
24,0.3333333432674408,0,1.486401081085205,,,,
24,,0,,0.13775509595870972,0.13775509595870972,2.380314826965332,0.13775509595870972
29,0.625,1,1.0573385953903198,,,,
34,0.375,1,1.954201340675354,,,,
39,0.53125,1,1.380039930343628,,,,
44,0.34375,1,1.9883265495300293,,,,
49,0.6666666865348816,1,1.5876728296279907,,,,
49,,1,,0.13775509595870972,0.11224489659070969,2.404620409011841,0.13775509595870972
